O,D,Diff
458,462,-251
458,463,-641
458,464,-763
458,465,-289
458,466,-439
458,472,-162
458,475,-132
458,476,-284
458,479,-114
458,480,-106
458,481,-216
458,483,-164
458,484,-117
458,485,-217
458,486,-163
458,487,-213
458,488,-163
458,490,-141
458,729,-267
458,730,-224
458,739,-117
458,740,-102
459,730,-273
459,736,-110
459,738,-109
459,739,-150
46,77,-107
460,730,-248
460,736,-105
460,738,-113
460,739,-112
461,730,-520
461,736,-219
461,737,-150
461,738,-199
461,739,-225
462,730,-185
462,738,-104
462,739,-147
463,730,-523
463,736,-219
463,737,-148
463,738,-193
463,739,-341
464,730,-757
464,731,-123
464,733,-117
464,734,-134
464,735,-112
464,736,-275
464,737,-189
464,738,-301
464,739,-285
465,730,-235
465,738,-240
465,739,-485
466,730,-299
466,736,-141
466,738,-971
466,739,-2234
466,741,-319
466,743,-244
467,730,-104
47,77,-121
472,730,-184
472,739,-104
476,730,-438
476,736,-184
476,738,-145
476,739,-179
480,730,-133
481,730,-315
481,736,-118
481,739,-138
483,730,-143
484,730,-180
484,739,-165
484,751,-121
485,730,-101
486,730,-190
487,730,-264
487,736,-104
487,739,-127
488,730,-129
488,739,-132
489,730,-106
489,739,-179
489,751,-117
490,738,-111
490,739,-540
490,741,-144
490,743,-209
491,739,-177
5,236,-131
5,77,-116
50,77,-150
54,77,-106
57,77,-110
66,77,-106
67,421,-124
67,77,-127
670,985,-189
68,421,-155
68,422,-108
68,426,-103
68,77,-148
681,985,-140
684,985,-240
685,971,-103
685,985,-239
686,961,-104
687,708,-143
687,713,-106
687,722,-120
687,961,-154
687,966,-139
687,969,-129
688,697,-110
688,698,-186
688,708,-225
688,713,-171
688,722,-127
688,961,-164
688,966,-142
688,969,-131
69,215,-112
693,961,-106
693,966,-102
694,961,-109
696,708,-103
696,961,-116
696,966,-103
697,698,-162
697,699,-147
697,700,-106
697,704,-187
697,708,-387
697,709,-1846
697,710,-655
697,711,-166
697,712,-230
697,713,-386
697,723,-176
697,726,-149
697,727,-214
698,699,-396
698,700,-347
698,701,-172
698,702,-186
698,704,-272
698,708,-208
698,709,-711
698,710,-222
698,711,-136
698,712,-155
698,713,-194
698,726,-109
698,727,-150
699,708,-226
699,710,-174
699,713,-193
70,201,-131
70,203,-110
70,210,-115
70,212,-102
70,215,-177
70,318,-50
700,708,-237
700,710,-157
700,713,-221
701,708,-193
701,710,-105
701,713,-161
701,722,-151
701,728,-109
701,961,-227
701,962,-144
701,963,-194
701,964,-207
701,966,-189
701,969,-159
701,971,-134
702,708,-196
702,710,-130
702,713,-185
703,708,-117
703,713,-101
703,722,-116
703,961,-160
703,963,-135
703,964,-139
703,966,-144
703,969,-111
704,708,-540
704,710,-291
704,713,-434
704,722,-210
704,728,-114
704,961,-249
704,962,-160
704,963,-220
704,964,-205
704,966,-241
704,969,-187
704,971,-166
704,985,-111
706,708,-139
706,713,-106
706,722,-140
706,961,-161
706,963,-136
706,966,-158
706,969,-106
707,722,-110
707,961,-136
707,963,-107
707,964,-113
707,966,-145
708,709,-2601
708,710,-1323
708,711,-530
708,712,-798
708,717,-206
708,721,-131
708,723,-521
708,726,-371
708,727,-583
709,710,-2576
709,713,-2232
709,722,-108
709,728,-159
709,961,-120
709,966,-119
71,201,-128
71,202,-347
71,203,-150
71,204,-132
71,210,-154
71,212,-125
71,215,-205
71,261,-133
71,77,-173
71,78,-172
71,79,-170
710,711,-270
710,712,-724
710,713,-1201
710,717,-108
710,723,-263
710,726,-543
710,727,-807
711,713,-500
711,722,-346
711,728,-279
711,961,-476
711,962,-347
711,963,-348
711,964,-454
711,966,-420
711,969,-314
711,970,-145
711,971,-253
711,975,-105
711,985,-383
712,713,-923
712,722,-125
712,961,-140
712,963,-114
712,964,-109
712,966,-151
713,717,-187
713,721,-108
713,723,-483
713,726,-625
713,727,-976
713,728,-123
714,966,-109
714,985,-161
715,985,-172
717,722,-260
717,728,-177
717,961,-319
717,962,-214
717,963,-238
717,964,-280
717,966,-320
717,969,-194
717,970,-101
717,971,-167
717,985,-255
718,966,-114
720,722,-175
720,728,-111
720,961,-202
720,962,-122
720,963,-138
720,964,-155
720,966,-239
720,969,-114
720,985,-141
721,722,-1513
721,728,-367
721,961,-800
721,962,-443
721,963,-467
721,964,-480
721,966,-814
721,969,-426
721,970,-193
721,971,-292
721,975,-123
721,985,-467
722,723,-469
722,724,-167
722,725,-237
722,728,-106
722,961,-949
722,962,-442
722,963,-521
722,964,-470
722,966,-3390
722,967,-121
722,968,-138
722,969,-486
722,970,-246
722,971,-398
722,972,-162
722,974,-210
722,975,-172
722,976,-152
